,0,1,2,3,4
2018-12-16 00:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 00:37:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 00:42:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 00:47:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 00:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 00:57:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:02:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:07:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:12:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:17:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:22:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:32:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:37:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:42:00.026,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:47:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:52:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 01:57:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:02:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:07:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:22:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:27:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:37:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:47:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:52:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 02:57:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
